Vacancy,Salary,Company,English,OperatingMode,ManagementMethods,Region,Education_Высшее,Education_Не требуется,Education_Среднее,WorkExperience_Более 6 лет,WorkExperience_Нет опыта,WorkExperience_От 1 года до 3 лет,WorkExperience_От 3 до 6 лет
900,75000.0,848,Не требуется,Полная занятость,agile; kanban; scrum,48,True,False,False,False,False,False,True
1068,100000.0,177,Не требуется,Полная занятость,Не указаны,59,False,True,False,False,True,False,False
985,100000.0,137,Не требуется,Полная занятость,waterfall,48,False,True,False,False,False,True,False
1644,100000.0,402,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
982,80000.0,2326,Не требуется,Полная занятость,Не указаны,20,True,False,False,False,True,False,False
900,100000.0,1803,Не требуется,Полная занятость,Не указаны,52,False,True,False,False,True,False,False
1146,120000.0,803,Не требуется,Полная занятость,Не указаны,10,False,False,True,False,False,True,False
1068,100000.0,177,Не требуется,Полная занятость,Не указаны,15,False,True,False,False,True,False,False
1204,60000.0,344,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
1640,200000.0,624,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,False,True
1455,200000.0,714,Не требуется,Полная занятость,Не указаны,68,True,False,False,False,False,False,True
87,100000.0,346,Не требуется,Полная занятость,agile; kanban; scrum; waterfall,69,False,False,True,False,False,True,False
324,30000.0,303,Не требуется,Полная занятость,Не указаны,69,True,False,False,False,True,False,False
900,100000.0,1634,Не требуется,Полная занятость,Не указаны,16,True,False,False,False,False,True,False
1455,100000.0,889,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1219,70000.0,1138,Не требуется,Полная занятость,Не указаны,23,False,True,False,False,False,True,False
1068,100000.0,177,Не требуется,Полная занятость,Не указаны,2,False,True,False,False,True,False,False
1068,100000.0,177,Не требуется,Полная занятость,Не указаны,97,False,True,False,False,True,False,False
190,100000.0,841,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1023,100000.0,690,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,True,False,False
936,100000.0,1761,Не требуется,Полная занятость,Не указаны,1,True,False,False,False,False,True,False
1455,80000.0,1969,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
1640,150000.0,1401,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
770,100000.0,1418,Не требуется,Полная занятость,Не указаны,54,False,True,False,False,False,True,False
1363,40000.0,58,Не требуется,Частичная занятость,agile; scrum; waterfall,89,False,True,False,False,False,True,False
1068,100000.0,177,Не требуется,Полная занятость,Не указаны,90,False,True,False,False,True,False,False
517,100000.0,1294,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1455,90000.0,56,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,True,False,False
900,45000.0,215,Не требуется,Полная занятость,Не указаны,40,False,True,False,False,True,False,False
479,60000.0,1229,Не требуется,Полная занятость,Не указаны,20,False,True,False,False,False,True,False
217,100000.0,1864,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,70000.0,797,Не требуется,Полная занятость,Не указаны,30,False,True,False,False,False,True,False
132,70000.0,904,Не требуется,Полная занятость,Не указаны,52,False,True,False,False,False,True,False
709,150000.0,2427,Не требуется,Полная занятость,Не указаны,48,False,False,True,False,True,False,False
467,100000.0,1061,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,False,True
900,120000.0,1156,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,False,True
132,80000.0,1460,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
770,50000.0,310,Не требуется,Полная занятость,Не указаны,62,False,True,False,False,True,False,False
1224,35000.0,88,Не требуется,Полная занятость,Не указаны,67,False,True,False,False,True,False,False
489,70000.0,1032,Не требуется,Полная занятость,Не указаны,69,True,False,False,False,False,True,False
1078,80000.0,495,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,False,True
515,100000.0,2185,Не требуется,Полная занятость,Не указаны,54,False,True,False,False,False,False,True
900,140000.0,1925,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
479,60000.0,1229,Не требуется,Полная занятость,Не указаны,63,False,True,False,False,False,True,False
1391,100000.0,78,Требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
1455,200000.0,2142,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
770,150000.0,2197,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
1640,80000.0,1305,Не требуется,Полная занятость,Не указаны,71,False,True,False,False,False,True,False
1345,150000.0,622,Требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
504,100000.0,2221,Не требуется,Полная занятость,Не указаны,68,True,False,False,False,False,True,False
837,170000.0,1783,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
159,60000.0,357,Не требуется,Полная занятость,Не указаны,52,False,False,True,False,False,True,False
575,100000.0,2185,Не требуется,Полная занятость,Не указаны,68,False,True,False,False,False,True,False
900,100000.0,2241,Не требуется,Полная занятость,Не указаны,20,True,False,False,False,False,True,False
900,76000.0,340,Не требуется,Полная занятость,agile; scrum,95,False,True,False,False,False,True,False
770,180000.0,169,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,False,True
509,85000.0,258,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
935,100000.0,874,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,False,True
814,150000.0,1132,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
1326,100000.0,1890,Не требуется,Полная занятость,Не указаны,29,False,True,False,False,True,False,False
216,150000.0,1301,Не требуется,Полная занятость,Не указаны,48,False,False,True,False,False,True,False
1345,100000.0,642,Не требуется,Полная занятость,Не указаны,20,False,True,False,False,False,True,False
11,260000.0,28,Требуется,Полная занятость,agile; waterfall,48,False,True,False,True,False,False,False
900,50000.0,578,Не требуется,Проектная работа,Не указаны,66,False,True,False,False,True,False,False
935,100000.0,874,Не требуется,Полная занятость,Не указаны,20,False,True,False,False,False,False,True
770,100000.0,1376,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,True,False,False
948,50000.0,132,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1347,50000.0,207,Не требуется,Полная занятость,Не указаны,69,False,False,True,False,False,True,False
789,150000.0,2014,Не требуется,Полная занятость,Не указаны,48,False,False,True,False,False,True,False
1206,60000.0,57,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
1640,150000.0,616,Не требуется,Полная занятость,Не указаны,68,False,True,False,False,False,True,False
1640,150000.0,564,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
281,80000.0,1633,Не требуется,Полная занятость,Не указаны,20,False,True,False,False,False,True,False
596,85000.0,1535,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
1757,30000.0,518,Не требуется,Полная занятость,Не указаны,28,True,False,False,False,True,False,False
836,60000.0,2161,Не требуется,Полная занятость,Не указаны,20,False,False,True,False,True,False,False
1105,70000.0,2357,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,60000.0,1385,Не требуется,Полная занятость,Не указаны,68,False,True,False,False,False,True,False
770,70000.0,1877,Не требуется,Полная занятость,Не указаны,16,False,True,False,False,False,True,False
900,40000.0,718,Не требуется,Полная занятость,Не указаны,30,False,True,False,False,True,False,False
501,70000.0,1475,Не требуется,Полная занятость,Не указаны,79,False,True,False,False,False,True,False
1147,45000.0,1721,Не требуется,Полная занятость,Не указаны,52,False,True,False,False,True,False,False
903,130000.0,789,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,False,True
518,110000.0,411,Не требуется,Полная занятость,Не указаны,85,False,True,False,False,False,True,False
1307,100000.0,866,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1455,140000.0,735,Не требуется,Полная занятость,Не указаны,91,True,False,False,False,False,True,False
677,150000.0,2040,Требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
770,120000.0,1959,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
770,57000.0,2374,Не требуется,Полная занятость,Не указаны,62,True,False,False,False,False,True,False
900,45000.0,1462,Не требуется,Полная занятость,Не указаны,38,False,True,False,False,True,False,False
1367,150000.0,1955,Не требуется,Полная занятость,Не указаны,91,False,True,False,False,False,True,False
770,65000.0,1118,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,90000.0,747,Не требуется,Полная занятость,Не указаны,99,False,True,False,False,False,True,False
900,45000.0,238,Не требуется,Полная занятость,Не указаны,54,False,False,True,False,True,False,False
218,80000.0,1050,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
452,77000.0,1383,Требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1197,90000.0,1332,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,True,False,False
1067,95000.0,545,Не требуется,Полная занятость,Не указаны,48,False,False,True,False,False,True,False
900,100000.0,1756,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
1455,160000.0,1868,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,False,True
103,60000.0,1469,Не требуется,Полная занятость,Не указаны,54,False,True,False,False,False,True,False
1086,80000.0,1063,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,True,False,False
165,120000.0,2264,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
4,130000.0,854,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
105,70000.0,152,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1411,100000.0,612,Не требуется,Полная занятость,agile; scrum,36,False,True,False,False,False,True,False
956,130000.0,1045,Не требуется,Проектная работа,Не указаны,48,False,True,False,False,False,True,False
754,100000.0,1687,Не требуется,Полная занятость,Не указаны,20,False,True,False,False,False,True,False
1640,200000.0,1206,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,False,True
1038,40000.0,1323,Не требуется,Полная занятость,agile; scrum,89,False,True,False,False,False,True,False
770,50000.0,1771,Не требуется,Полная занятость,Не указаны,9,True,False,False,False,False,True,False
666,150000.0,2256,Не требуется,Полная занятость,Не указаны,48,False,False,True,False,False,True,False
900,90000.0,1697,Не требуется,Полная занятость,Не указаны,69,True,False,False,False,False,True,False
1202,40000.0,1062,Не требуется,Полная занятость,Не указаны,90,False,True,False,False,True,False,False
483,60000.0,693,Не требуется,Полная занятость,Не указаны,48,False,False,True,False,False,True,False
900,120000.0,412,Не требуется,Полная занятость,Не указаны,54,True,False,False,False,False,True,False
132,100000.0,2344,Не требуется,Проектная работа,Не указаны,69,True,False,False,False,False,False,True
1171,55000.0,992,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
1455,190000.0,1950,Не требуется,Полная занятость,Не указаны,66,True,False,False,False,False,True,False
770,100000.0,1546,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
900,110000.0,2435,Не требуется,Полная занятость,Не указаны,67,False,True,False,False,False,False,True
770,140000.0,2486,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,False,True
111,100000.0,401,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,180000.0,2496,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1033,200000.0,1970,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
1640,150000.0,2469,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
900,62000.0,859,Не требуется,Полная занятость,Не указаны,13,False,True,False,False,False,True,False
568,185000.0,209,Требуется,Полная занятость,Не указаны,48,True,False,False,False,False,False,True
677,75000.0,664,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,True,False,False
786,140000.0,1507,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
76,100000.0,1107,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,False,True
1262,75000.0,2049,Не требуется,Полная занятость,Не указаны,20,True,False,False,False,True,False,False
1640,150000.0,1965,Не требуется,Полная занятость,Не указаны,52,True,False,False,False,False,True,False
1027,70000.0,8,Не требуется,Полная занятость,Не указаны,63,False,True,False,False,False,True,False
482,80000.0,1128,Не требуется,Полная занятость,agile; scrum; waterfall,48,False,True,False,False,False,False,True
900,150000.0,1650,Не требуется,Полная занятость,Не указаны,69,True,False,False,False,False,True,False
900,50000.0,186,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
575,100000.0,2185,Не требуется,Полная занятость,Не указаны,30,False,True,False,False,False,True,False
581,120000.0,2059,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
107,70000.0,266,Не требуется,Полная занятость,Не указаны,89,False,True,False,False,False,True,False
1006,110000.0,1826,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
509,80000.0,1470,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
308,65000.0,2070,Требуется,Полная занятость,Не указаны,20,True,False,False,False,False,True,False
978,80000.0,569,Не требуется,Полная занятость,Не указаны,52,True,False,False,False,False,True,False
770,240000.0,2270,Не требуется,Полная занятость,Не указаны,51,True,False,False,False,False,False,True
1050,100000.0,748,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,100000.0,18,Не требуется,Полная занятость,Не указаны,93,False,True,False,False,False,True,False
900,40000.0,2187,Не требуется,Полная занятость,Не указаны,63,True,False,False,False,True,False,False
1075,50000.0,433,Требуется,Полная занятость,Не указаны,48,True,False,False,False,True,False,False
241,150000.0,283,Требуется,Полная занятость,Не указаны,48,False,True,False,False,False,False,True
1324,70000.0,830,Требуется,Полная занятость,Не указаны,29,False,True,False,False,False,True,False
744,75000.0,1306,Не требуется,Полная занятость,Не указаны,20,True,False,False,False,False,True,False
1640,140000.0,1755,Не требуется,Полная занятость,Не указаны,69,True,False,False,False,False,False,True
744,69000.0,2291,Не требуется,Полная занятость,Не указаны,20,True,False,False,False,False,True,False
1186,100000.0,2180,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
216,100000.0,1864,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
309,40000.0,672,Не требуется,Полная занятость,Не указаны,96,False,True,False,False,False,True,False
1640,160000.0,1697,Не требуется,Полная занятость,Не указаны,69,True,False,False,True,False,False,False
770,100000.0,148,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
757,50000.0,1043,Не требуется,Полная занятость,Не указаны,68,False,True,False,False,True,False,False
957,60000.0,549,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,True,False,False
1024,70000.0,1494,Не требуется,Полная занятость,Не указаны,29,False,True,False,False,False,True,False
1199,50000.0,1889,Не требуется,Полная занятость,Не указаны,67,True,False,False,False,True,False,False
132,100000.0,906,Не требуется,Полная занятость,Не указаны,62,False,True,False,False,False,True,False
87,110000.0,610,Не требуется,Полная занятость,agile; kanban; scrum; waterfall,48,True,False,False,False,False,True,False
1011,80000.0,1517,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1343,150000.0,49,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
900,100000.0,2335,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,False,True
1253,30000.0,117,Не требуется,Полная занятость,Не указаны,66,False,True,False,False,True,False,False
770,100000.0,140,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
19,70000.0,83,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
1082,200000.0,2411,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
677,80000.0,779,Не требуется,Полная занятость,Не указаны,20,False,True,False,False,False,True,False
111,90000.0,408,Не требуется,Полная занятость,Не указаны,38,False,True,False,False,False,True,False
87,120000.0,724,Требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
770,100000.0,752,Не требуется,Полная занятость,scrum,25,True,False,False,False,False,True,False
575,100000.0,2185,Не требуется,Полная занятость,Не указаны,29,False,True,False,False,False,False,True
900,180000.0,2026,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1640,250000.0,392,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,130000.0,418,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1015,100000.0,1359,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,False,True
633,150000.0,1396,Не требуется,Полная занятость,Не указаны,48,False,False,True,False,True,False,False
503,50000.0,533,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
224,60000.0,1467,Не требуется,Полная занятость,Не указаны,54,False,True,False,False,False,True,False
173,100000.0,530,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1064,40000.0,1536,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1168,50000.0,827,Не требуется,Полная занятость,Не указаны,104,False,True,False,False,False,True,False
938,120000.0,1891,Не требуется,Полная занятость,Не указаны,69,True,False,False,False,False,True,False
132,65000.0,645,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
291,50000.0,109,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,100000.0,323,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
770,80000.0,372,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,70000.0,2230,Не требуется,Полная занятость,Не указаны,80,False,True,False,False,False,True,False
192,80000.0,1752,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
900,100000.0,953,Не требуется,Полная занятость,Не указаны,39,False,True,False,False,True,False,False
272,60000.0,317,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
900,70000.0,1325,Не требуется,Полная занятость,Не указаны,95,False,True,False,False,False,True,False
756,80000.0,1238,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,True,False,False
1331,50000.0,2186,Не требуется,Полная занятость,Не указаны,25,False,True,False,False,False,True,False
998,40000.0,452,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
559,60000.0,1764,Не требуется,Частичная занятость,Не указаны,69,False,True,False,False,True,False,False
769,90000.0,1908,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,False,True
485,110000.0,810,Не требуется,Полная занятость,Не указаны,48,True,False,False,False,False,True,False
1750,100000.0,233,Не требуется,Полная занятость,Не указаны,20,True,False,False,False,False,True,False
677,80000.0,2,Не требуется,Полная занятость,Не указаны,69,False,False,True,False,False,True,False
900,80000.0,742,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,False,True
264,100000.0,1206,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
1640,220000.0,802,Не требуется,Полная занятость,Не указаны,48,True,False,False,True,False,False,False
1900,27000.0,227,Не требуется,Полная занятость,Не указаны,88,False,True,False,False,True,False,False
1105,70000.0,2357,Не требуется,Полная занятость,Не указаны,3,False,True,False,False,False,True,False
900,65000.0,878,Не требуется,Полная занятость,Не указаны,38,False,True,False,False,False,True,False
37,120000.0,1518,Не требуется,Полная занятость,Не указаны,29,False,True,False,False,False,False,True
1640,60000.0,960,Не требуется,Полная занятость,Не указаны,69,False,True,False,False,False,True,False
905,90000.0,306,Не требуется,Полная занятость,Не указаны,48,False,True,False,False,False,True,False
